Nº,Nombre,Total.Por mil ‰
2421,MARGARITA CARMEN,291,0.014
2422,MARIA ERMITAS,291,0.014
2423,MERIDA,291,0.014
2424,NAHIR,291,0.014
2425,NAZIHA,291,0.014
2426,SELVA,291,0.014
2427,CARMEN JOSEFA,290,0.014
2428,TANYA,290,0.014
2429,FIRDAOUS,289,0.013
2430,ISABEL CLARA,289,0.013
2431,LAURA ELENA,289,0.013
2432,MARIA CORONADA,289,0.013
2433,MARIA OLATZ,289,0.013
2434,FIRDAWS,288,0.013
2435,JOSEFA FRANCISCA,288,0.013
2436,KENYA,288,0.013
2437,NEILA,288,0.013
2438,ROBERTA,288,0.013
2439,STEFANIA,288,0.013
2440,YARITZA,288,0.013
2441,CARMELINA,287,0.013
2442,CORONA,287,0.013
2443,CRISTINA ELENA,287,0.013
2444,DIANA MILENA,287,0.013
2445,GORANE,287,0.013
2446,MARIA BENIGNA,287,0.013
2447,MARIA SHEILA,287,0.013
2448,YASSMIN,287,0.013
2449,CLAUDIA MILENA,286,0.013
2450,DIANA ISABEL,286,0.013
2451,MAFALDA,286,0.013
2452,MARIA JOSEPA,286,0.013
2453,MARICELA,286,0.013
2454,NILDA,286,0.013
2455,YASIRA,286,0.013
2456,YESICA MARIA,286,0.013
2457,ANA ELVIRA,285,0.013
2458,ELA,285,0.013
2459,ITXASNE,285,0.013
2460,MADDALEN,285,0.013
2461,MIMOUNT,285,0.013
2462,YANAY,285,0.013
2463,ALICIA ESTHER,284,0.013
2464,ANGELA PATRICIA,284,0.013
2465,CASSANDRA,284,0.013
2466,LAZARA,284,0.013
2467,LORENA CARMEN,284,0.013
2468,ZAMARA,284,0.013
2469,CARMEN AMELIA,283,0.013
2470,HASNAE,283,0.013
2471,MARIA JENNIFER,283,0.013
2472,SERGIA,283,0.013
2473,ARLETTE,282,0.013
2474,BENJAMINA,282,0.013
2475,CATARINA,282,0.013
2476,CLAUDIA LORENA,282,0.013
2477,DAIDA,282,0.013
2478,EYRA,282,0.013
2479,GURUTZE,282,0.013
2480,ISLAM,282,0.013
2481,KATALIN,282,0.013
2482,PATRICIA ALEJANDRA,282,0.013
2483,ARCADIA,281,0.013
2484,CHENOA,281,0.013
2485,MARIA LUCINDA,281,0.013
2486,PAU,281,0.013
2487,BEATRIZ ISABEL,280,0.013
2488,DIAMANTINA,280,0.013
2489,LEONTINA,280,0.013
2490,VIDALINA,280,0.013
2491,CARMEN LIDIA,279,0.013
2492,DIANA ELIZABETH,279,0.013
2493,VICTORIA ANGELES,279,0.013
2494,EZEQUIELA,278,0.013
2495,JUANA PILAR,278,0.013
2496,LIDON,278,0.013
2497,MARIA ZULEMA,278,0.013
2498,MELODIE,278,0.013
2499,YULIYA,278,0.013
2500,ANA MATILDE,277,0.013
2501,ANA REYES,277,0.013
2502,ISABEL ANGELES,277,0.013
2503,KEREN,277,0.013
2504,MARIA NANCY,277,0.013
2505,WISAL,277,0.013
2506,YESIKA,277,0.013
2507.ARGIÑE,276,0,013
2508,CLAUDIA ISABEL,276,0.013
2509,MARIA GUIA,276,0.013
2510,MARIA HILDA,276,0.013
2511,MERCEDES PILAR,276,0.013
2512,MIREN ARANTZA,276,0.013
2513,ROSA AURORA,276,0.013
2514,ZAIDA MARIA,276,0.013
2515,CARMEN ELISA,275,0.013
2516,ISABEL ANA,275,0.013
2517,MARIA CASILDA,275,0.013
2518,SILVIA BEATRIZ,275,0.013
2519,AROA MARIA,274,0.013
2520,BLANDINA,274,0.013
2521,IKHLAS,274,0.013
2522,MARIA EDUARDA,274,0.013
2523,MARIA NELA,274,0.013
2524,NERMIN,274,0.013
2525,SUSAN,274,0.013
2526,YARELI,274,0.013
2527,CARMEN CONCEPCION,273,0.013
2528,CELINE,273,0.013
2529,FIRDAUS,273,0.013
2530,MARIA CONSTANZA,273,0.013
2531,MARIA ROSARIO FATIMA,273,0.013
2532,NORMA BEATRIZ,273,0.013
2533,NOUHAILA,273,0.013
2534,ROSA EMILIA,273,0.013
2535,NIURKA,272,0.013
2536,CONCHI,271,0.013
2537,ENCARNA,271,0.013
2538,MADELEINE,271,0.013
2539,AFNAN,270,0.013
2540,MARISELA,270,0.013
2541,REINA,270,0.013
2542,SILVIA CARMEN,270,0.013
2543,SONIA ESTHER,270,0.013
2544,YENNY,270,0.013
2545,ADRIANA PATRICIA,269,0.013
2546,ANISA,269,0.013
2547,CONRADA,269,0.013
2548,LORE,269,0.013
2549,MAICA,269,0.013
2550,MARIA HUMILDAD,269,0.013
2551,SALIHA,269,0.013
2552,VALERY,269,0.013
2553,CORALIA,268,0.012
2554.EGUZKIÑE,268,0,012
2555,MARIA ELDA,268,0.012
2556,MONICA PILAR,268,0.012
2557,RANYA,268,0.012
2558,ANA ASUNCION,267,0.012
2559,CRISTINA BEATRIZ,267,0.012
2560,EVA CARMEN,267,0.012
2561,FATIMA CARMEN,267,0.012
2562,ISABEL ANTONIA,267,0.012
2563,ROSA VICTORIA,267,0.012
2564,SIERRA,267,0.012
2565,ALLENDE,266,0.012
2566,BUENAVENTURA,266,0.012
2567,MARIA DORINDA,266,0.012
2568,SASKIA,266,0.012
2569,USUE,266,0.012
2570,VENUS,266,0.012
2571,ZAIRA MARIA,266,0.012
2572,AMANCIA,265,0.012
2573,ANA SOLEDAD,265,0.012
2574,MARIA JESICA,265,0.012
2575,MARTA ROSA,265,0.012
2576,OMARA,265,0.012
2577,SILVESTRA,265,0.012
2578,YAMILET,265,0.012
2579,AINARA MARIA,264,0.012
2580,ANISSA,264,0.012
2581,AYSHA,264,0.012
2582,CHAXIRAXI,264,0.012
2583,JEANNETTE,264,0.012
2584,LIGIA,264,0.012
2585,SALUSTIANA,264,0.012
2586,AURELIANA,263,0.012
2587,CLAUDIA ALEJANDRA,263,0.012
2588,EVA PATRICIA,263,0.012
2589,HUERTAS,263,0.012
2590,KASSANDRA,263,0.012
2591,MARIA GUILLERMINA,263,0.012
2592,NILE,263,0.012
2593,OIANE,263,0.012
2594,SONIA CARMEN,263,0.012
2595,VALERIA MARIA,263,0.012
2596,ABRAR,262,0.012
2597,BERNABELA,262,0.012
2598,ISABEL ROSARIO,262,0.012
2599,JANINA,262,0.012
2600,MAJDA,262,0.012
2601,MARIA YASMINA,262,0.012
2602,NATALI,262,0.012
2603,OHIANE,262,0.012
2604,ARANE,261,0.012
2605,DAYRA,261,0.012
2606,GLORIA PILAR,261,0.012
2607,MARTHA LILIANA,261,0.012
2608,NADIA MARIA,261,0.012
2609,YUREMA,261,0.012
2610,ANDREINA,260,0.012
2611,CARMEN MAR,260,0.012
2612,GLORIA ESPERANZA,260,0.012
2613,LUBNA,260,0.012
2614,MIREN IZASKUN,260,0.012
2615,NUBIA,260,0.012
2616,SELENIA,260,0.012
2617,ALIDA,259,0.012
2618,ANTONIA BELEN,259,0.012
2619,FREDESVINDA,259,0.012
2620,LAURA ALEJANDRA,259,0.012
2621,ODALYS,259,0.012
2622,PATRICIA ELENA,259,0.012
2623,BLANCA PALOMA,258,0.012
2624,CIRIACA,258,0.012
2625,MARIEN,258,0.012
2626,PALOMA ROCIO,258,0.012
2627,RAZAN,258,0.012
2628,ANA MAR,257,0.012
2629,URSULA MARIA,257,0.012
2630,DOAE,256,0.012
2631,ODETTE,256,0.012
2632,AIDE,255,0.012
2633,BLANCA AMELIA,255,0.012
2634,MARIA CLEMENTINA,255,0.012
2635,SOFIA CARMEN,255,0.012
2636,TRIANA MARIA,255,0.012
2637,CANDELA MARIA,254,0.012
2638,CAROLINA CARMEN,254,0.012
2639,DAENERYS,254,0.012
2640,ALBA MARINA,253,0.012
2641,ANA VERONICA,253,0.012
2642,CINTA ROCIO,253,0.012
2643,ELISABET MARIA,253,0.012
2644,ILEANA,253,0.012
2645,JULIA ROSA,253,0.012
2646,CARMEN MILAGROS,252,0.012
2647,ELAINE,252,0.012
2648,MARIA MODESTA,252,0.012
2649,MARIA REMEDIO,252,0.012
2650,NIA,252,0.012
2651,RITA CARMEN,252,0.012
2652,SAFIRA,252,0.012
2653,SIENNA,252,0.012
2654,ANDREA ESTEFANIA,251,0.012
2655,ANJANA,251,0.012
2656,CLEOFE,251,0.012
2657,ELORA,251,0.012
2658,GEORGIA,251,0.012
2659,IKERNE,251,0.012
2660,TINA,251,0.012
2661,ANA CRUZ,250,0.012
2662,ANA EUGENIA,250,0.012
2663,ANDREA PILAR,250,0.012
2664,MARIA ENEDINA,250,0.012
2665,OLIVIA MARIA,250,0.012
2666,YOLANDA ISABEL,250,0.012
2667,FATIMA SOHORA,249,0.012
2668,JOSEFA MANUELA,249,0.012
2669,NAYALA,249,0.012
2670,OLGA BEATRIZ,249,0.012
2671,ZAYNAB,249,0.012
2672,ANA RUTH,248,0.012
2673,ARIEL,248,0.012
2674,ESTELLA,248,0.012
2675,LUZIA,248,0.012
2676,SILVIA ISABEL,248,0.012
2677,ZAKIA,248,0.012
2678,ANDERE,247,0.011
2679,CALIXTA,247,0.011
2680,ELPIDIA,247,0.011
2681,EULALIA MARIA,247,0.011
2682,LILIANA PATRICIA,247,0.011
2683,UBALDINA,247,0.011
2684,ARAIA,246,0.011
2685,CYNTIA,246,0.011
2686,KALA,246,0.011
2687,YVETTE,246,0.011
2688,ALEJANDRA ISABEL,245,0.011
2689,ALEXIA MARIA,245,0.011
2690,AUDREY,245,0.011
2691,CINTIA MARIA,245,0.011
2692,FRUCTUOSA,245,0.011
2693,MACARENA ROCIO,245,0.011
2694,ANIANA,244,0.011
2695,MARGARITA PILAR,244,0.011
2696,MARTA SUSANA,244,0.011
2697,NATHALY,244,0.011
2698,RAJAE,244,0.011
2699,XELA,244,0.011
2700,XOANA,244,0.011
2701,CARMEN FRANCISCA,243,0.011
2702,DEMELZA,243,0.011
2703,INES CARMEN,243,0.011
2704,JUANA MANUELA,243,0.011
2705,LIDUVINA,243,0.011
2706,MARIA ERNESTINA,243,0.011
2707,MOIRA,243,0.011
2708,NIHAL,243,0.011
2709,NURIA CARMEN,243,0.011
2710,OLGA ISABEL,243,0.011
2711,RAQUEL CARMEN,243,0.011
2712,REGINA MARIA,243,0.011
2713,ANA PAOLA,242,0.011
2714,AURITA,242,0.011
2715,HEGOA,242,0.011
2716,JOSEFA ROSARIO,242,0.011
2717,ORENCIA,242,0.011
2718,SOFIA VALENTINA,242,0.011
2719,SOLANGE,242,0.011
2720,CINDY,241,0.011
2721,FADWA,241,0.011
2722,MARINA PILAR,241,0.011
2723,SILVIA PILAR,241,0.011
2724,YENNIFER,241,0.011
2725,ANA EMILIA,240,0.011
2726,BEATRIZ PILAR,240,0.011
2727,ELIZABETH MARIA,240,0.011
2728,LIANA,240,0.011
2729,MARIA ARGEME,240,0.011
2730,MARIA BENEDICTA,240,0.011
2731,MARIA INMACULADA CONCEPCION,240,0.011
2732,MICHELE,240,0.011
2733,RUBIELA,240,0.011
2734,SUKAINA,240,0.011
2735,CORNELIA,239,0.011
2736,MARIA JUSTINA,239,0.011
2737,ROSA AMPARO,239,0.011
2738,ANA MILAGROS,238,0.011
2739,CASTORA,238,0.011
2740,CLARIBEL,238,0.011
2741,ISABEL MERCEDES,238,0.011
2742,MARIA ADRIANA,238,0.011
2743,MARIA DORA,238,0.011
2744,MARIA MARCELA,238,0.011
2745,MATXALEN,238,0.011
2746,RUT MARIA,238,0.011
2747,AZAHAR,237,0.011
2748,CORO,237,0.011
2749,DEOLINDA,237,0.011
2750,IRADI,237,0.011
2751,IRENE ISABEL,237,0.011
2752,ROSA ANTONIA,237,0.011
2753,ROSA TERESA,237,0.011
2754,ANA BERTA,236,0.011
2755,GISELLA,236,0.011
2756,NATALIA CARMEN,236,0.011
2757,OLEGARIA,236,0.011
2758,ANA JOAQUINA,235,0.011
2759,FATIMA ROSARIO,235,0.011
2760,FRANCISCA JESUS,235,0.011
2761,MARIA EDITA,235,0.011
2762,MARIA PASCUALA,235,0.011
2763,MARIYA,235,0.011
2764,NATALIA ANDREA,235,0.011
2765,HILDA MARIA,234,0.011
2766,JULE,234,0.011
2767,MANUELA PILAR,234,0.011
2768,MARTA INES,234,0.011
2769,OLGA PATRICIA,234,0.011
2770,USOA,234,0.011
2771,WIDAD,234,0.011
2772,DANIELA CARMEN,233,0.011
2773,DELMIRA,233,0.011
2774,LUZ ANGELA,233,0.011
2775,MAYELIN,233,0.011
2776,YOHANNA,233,0.011
2777,ESTEFANY,232,0.011
2778,MARIA EUFEMIA,232,0.011
2779,NATALIA ISABEL,232,0.011
2780,NISAMAR,232,0.011
2781,SELINA,232,0.011
2782,SHAMIRA,232,0.011
2783,SOFIA VICTORIA,232,0.011
2784,STEFANY,232,0.011
2785,ELENA BEATRIZ,231,0.011
2786,LARISSA,231,0.011
2787,VICTORIA ELENA,231,0.011
2788,AKANE,230,0.011
2789,ALICIA PILAR,230,0.011
2790,GLADYS MARIA,230,0.011
2791,LONGINA,230,0.011
2792,MIHAELA,230,0.011
2793,MYA,230,0.011
2794,SASHA,230,0.011
2795,SERVANDA,230,0.011
2796,SHARAY,230,0.011
2797,SOHORA,230,0.011
2798,ADRIANA CAROLINA,229,0.011
2799,ANA AMELIA,229,0.011
2800,ANA AURORA,229,0.011
2801,ANA ELIZABETH,229,0.011
2802,AURIA,229,0.011
2803,CATALINA ANA,229,0.011
2804,FORTUNATA,229,0.011
2805,KAUTAR,229,0.011
2806,MAITENA,229,0.011
2807,OUAFAE,229,0.011
2808,VICTORIA ALEJANDRA,229,0.011
2809,ANA GUADALUPE,228,0.011
2810,CHRISTINA,228,0.011
2811,LAURA DANIELA,228,0.011
2812,MARIA ALBINA,228,0.011
2813,MARIA ELADIA,228,0.011
2814,MARIA ERIKA,228,0.011
2815,MARTHA ELENA,228,0.011
2816,MIRTHA,228,0.011
2817,NAJOUA,228,0.011
2818,PAULA ALEJANDRA,228,0.011
2819,SHARA,228,0.011
2820,YAJAIRA,228,0.011
2821,ATANASIA,227,0.011
2822,CATUXA,227,0.011
2823,JOSEFINA MARIA,227,0.011
2824,JUDITH MARIA,227,0.011
2825,JUSTA MARIA,227,0.011
2826,KHADDOUJ,227,0.011
2827,MARIA DIONISIA,227,0.011
2828,NAARA,227,0.011
2829,OLYMPIA,227,0.011
2830,SARA LUCIA,227,0.011
2831,SARA PILAR,227,0.011
2832,YOSUNE,227,0.011
2833,CHARO,226,0.011
2834,MARIA EDELMIRA,226,0.011
2835,NADYA,226,0.011
2836,NOEMI MARIA,226,0.011
2837,SUSANA CARMEN,226,0.011
2838,ANNIE,225,0.010
2839,ARIAN,225,0.010
2840,EZTIZEN,225,0.010
2841,JANAT,225,0.010
2842,JUANA DIOS,225,0.010
2843,KHAOULA,225,0.010
2844,MARIA LUZ DIVINA,225,0.010
2845,REMEDIO,225,0.010
2846,REMEDIOS MARIA,225,0.010
2847,SONIA PILAR,225,0.010
2848,ANTONIA ANGELES,224,0.010
2849,CARMEN MARGARITA,224,0.010
2850,CAROLINA ISABEL,224,0.010
2851,JULIET,224,0.010
2852,KARIN,224,0.010
2853,ALISSON,223,0.010
2854,CELTIA,223,0.010
2855,FRANCISCA ASIS,223,0.010
2856,GALIA,223,0.010
2857,INDIANA,223,0.010
2858,LUCIA TERESA,223,0.010
2859,MARIA CLEMENCIA,223,0.010
2860,NERE,223,0.010
2861,ONELIA,223,0.010
2862,PLACERES,223,0.010
2863,ROSANGELA,223,0.010
2864,SIOMARA,223,0.010
2865,EDEN,222,0.010
2866,EDUVIGES,222,0.010
2867,JIHANE,222,0.010
2868,LAURA TERESA,222,0.010
2869,MAEVA,222,0.010
2870,REMIGIA,222,0.010
2871,ROSSANA,222,0.010
2872,SALETA,222,0.010
2873,ALEKSANDRA,221,0.010
2874,ALOMA,221,0.010
2875,FAIZA,221,0.010
2876,JANETTE,221,0.010
2877,MARIA VALME,221,0.010
2878,ROCIO ISABEL,221,0.010
2879,SARA ESTHER,221,0.010
2880,ALEYDA,220,0.010
2881,ANA REMEDIOS,220,0.010
2882,ANDREA ALEJANDRA,220,0.010
2883,CARMEN INMACULADA,220,0.010
2884,EDA,220,0.010
2885,FATUMATA,220,0.010
2886,FRANCISCA ANA,220,0.010
2887,IXEYA,220,0.010
2888,LAMIAE,220,0.010
2889,LEIZE,220,0.010
2890,MARIA JOANA,220,0.010
2891,MARUXA,220,0.010
2892,AMALUR,219,0.010
2893,ASELA,219,0.010
2894,CARMEN ANA,219,0.010
2895,CRISTINA ROCIO,219,0.010
2896,GUADALUPE MARIA,219,0.010
2897,KATYA,219,0.010
2898,LAURA MERCEDES,219,0.010
2899,LUDMILA,219,0.010
2900,MARIA LLUC,219,0.010
2901,MARIA LURDES,219,0.010
2902,MARIA VALERIA,219,0.010
2903,MAY,219,0.010
2904,MONICA ESTHER,219,0.010
2905,ALICIA BEATRIZ,218,0.010
2906,ALLISON,218,0.010
2907,ARACELY,218,0.010
2908,CATALINA ISABEL,218,0.010
2909,CELERINA,218,0.010
2910,ELISABETE,218,0.010
2911,MARIA JERUSALEN,218,0.010
2912,MERTXE,218,0.010
2913,NAYRA MARIA,218,0.010
2914,NOHAILA,218,0.010
2915,SIA,218,0.010
2916,SUSANA PILAR,218,0.010
2917,YRAYA,218,0.010
2918,ANA CLAUDIA,217,0.010
2919,ANTONIA LUISA,217,0.010
2920,INNA,217,0.010
2921,MAI,217,0.010
2922,MARIA IRMA,217,0.010
2923,RAYHANA,217,0.010
2924.EKIÑE,216,0,010
2925,HODA,216,0.010
2926,MANUELA ISABEL,216,0.010
2927,MARGARET,216,0.010
2928,NAYAT,216,0.010
2929,SCARLETT,216,0.010
2930,ANA OLGA,215,0.010
2931,CARMEN ANTONIA,215,0.010
2932,CRISTETA,215,0.010
2933,ELINA,215,0.010
2934,LILY,215,0.010
2935,MARIA BIENVENIDA,215,0.010
2936,MONICA ELIZABETH,215,0.010
2937,NAJIA,215,0.010
2938,PRADO,215,0.010
2939,SEREZADE,215,0.010
2940,YAQUELIN,215,0.010
2941,ALENA,214,0.010
2942,ANEU,214,0.010
2943,DOLORES ROCIO,214,0.010
2944,DULCINEA,214,0.010
2945,ELEONOR,214,0.010
2946,ESTILITA,214,0.010
2947,EXPECTACION,214,0.010
2948,MARIA EMERITA,214,0.010
2949,SOFIA ALEJANDRA,214,0.010
2950,ANOUK,213,0.010
2951,CHRISTINE,213,0.010
2952,GONZALA,213,0.010
2953,NAZARIA,213,0.010
2954,SARA ELENA,213,0.010
2955,VERONICA ALEXANDRA,213,0.010
2956,AILA,212,0.010
2957,ANA IRENE,212,0.010
2958,ARAI,212,0.010
2959,BELLA MARIA,212,0.010
2960,MARIA GENEROSA,212,0.010
2961,MARTA EUGENIA,212,0.010
2962,MIREN IGONE,212,0.010
2963,ONINTZE,212,0.010
2964,ROSA ANGELA,212,0.010
2965,ASIL,211,0.010
2966,AUREA MARIA,211,0.010
2967,HAIZENE,211,0.010
2968,INMACULADA CARMEN,211,0.010
2969,LIDIA ISABEL,211,0.010
2970,XARE,211,0.010
2971,ZULMA,211,0.010
2972,ANDREA VICTORIA,210,0.010
2973,ANGELES CARMEN,210,0.010
2974,ANTONIA FRANCISCA,210,0.010
2975,BLANCA INES,210,0.010
2976,CRISTINA EUGENIA,210,0.010
2977,LOLI,210,0.010
2978,MACARIA,210,0.010
2979,MARIA SARAY,210,0.010
2980,NASSIRA,210,0.010
2981,NEREA CARMEN,210,0.010
2982.TERESITA NIÑO JESUS,210,0,010
2983,YEDRA,210,0.010
2984,ANTONIA ROCIO,209,0.010
2985,DOMINIQUE,209,0.010
2986,IOANA,209,0.010
2987,JENIFER MARIA,209,0.010
2988,JIHAN,209,0.010
2989,LAURA VALENTINA,209,0.010
2990,NADIN,209,0.010
2991,NURA,209,0.010
2992,PALMA,209,0.010
2993,PATRICIA ELIZABETH,209,0.010
2994,ESTITXU,208,0.010
2995,LINAREJOS,208,0.010
2996,MARIA APARECIDA,208,0.010
2997,MARIA PAU,208,0.010
2998,PAULA VICTORIA,208,0.010
2999,SANDRA LORENA,208,0.010
3000,AURORA CARMEN,207,0.010
3001,CARMEN RAQUEL,207,0.010
3002,CARMEN REYES,207,0.010
3003,INDALECIA,207,0.010
3004,ITHAISA,207,0.010
3005,LIZETH,207,0.010
3006,LUCIA VICTORIA,207,0.010
3007,LUISA CARMEN,207,0.010
3008,MAIMOUNA,207,0.010
3009,MARIA JACQUELINE,207,0.010
3010,SHAYLA,207,0.010
3011,ANA BLANCA,206,0.010
3012,FACUNDA,206,0.010
3013,GHITA,206,0.010
3014,GOTZONE,206,0.010
3015,GRACIELA MARIA,206,0.010
3016,JULIA PILAR,206,0.010
3017,MARIA CUSTODIA,206,0.010
3018,PAQUI,206,0.010
3019,RKIA,206,0.010
3020,ROSARIO ANA,206,0.010
3021,SARA VICTORIA,206,0.010
3022,YAZMIN,206,0.010
3023,YOLANDA CARMEN,206,0.010
3024,AILEEN,205,0.010
3025,AMARANTA,205,0.010
3026,JUANA LUISA,205,0.010
3027,MANUELA ROCIO,205,0.010
3028,MARIA FAUSTINA,205,0.010
3029,MARIA ORETO,205,0.010
3030,MIRNA,205,0.010
3031,NURIA PILAR,205,0.010
3032,ANA AMPARO,204,0.009
3033,CARMEN MANUELA,204,0.009
3034,IVONE,204,0.009
3035,MAIER,204,0.009
3036,MARIA OLALLA,204,0.009
3037,MONICA ALEJANDRA,204,0.009
3038,NEZHA,204,0.009
3039,RUPERTA,204,0.009
3040,SAKINA,204,0.009
3041,SILVIA ELENA,204,0.009
3042,THELMA,204,0.009
3043,YURENA MARIA,204,0.009
3044,BADIA,203,0.009
3045,BLANCA AZUCENA,203,0.009
3046,CONCEPCION CARMEN,203,0.009
3047,CRISPINA,203,0.009
3048,DEISY,203,0.009
3049,FERDAOUS,203,0.009
3050,ISOLDA,203,0.009
3051,KENDRA,203,0.009
3052,MIREN LOREA,203,0.009
3053,ROCIO MACARENA,203,0.009
3054,TAYRI,203,0.009
3055,VICTORIA PILAR,203,0.009
3056,CARMEN SOLEDAD,202,0.009
3057,DAVINIA MARIA,202,0.009
3058,EVA LUCIA,202,0.009
3059,KATIXA,202,0.009
3060,MARIA GEORGINA,202,0.009
3061,NIOBE,202,0.009
3062,RUTH ESTHER,202,0.009
3063,SAMAR,202,0.009
3064,DAURA,201,0.009
3065,ELICIA,201,0.009
3066,EUTIQUIA,201,0.009
3067,JORDANA,201,0.009
3068,KAROLINA,201,0.009
3069,KAUZAR,201,0.009
3070,LAURA ROCIO,201,0.009
3071,MARIA EVELIA,201,0.009
3072,POLONIA,201,0.009
3073,SAMAY,201,0.009
3074,SUMAYA,201,0.009
3075,YASHIRA,201,0.009
3076,ALEXANDRA ELIZABETH,200,0.009
3077,ANTONIA TERESA,200,0.009
3078,ASCENSION MARIA,200,0.009
3079,BELKIS,200,0.009
3080,CANDIDA MARIA,200,0.009
3081,ELEONORA,200,0.009
3082,GOIZALDE,200,0.009
3083,IREA,200,0.009
3084,JIMENA MARIA,200,0.009
3085,MARIA ZAIDA,200,0.009
3086,PAULA SOFIA,200,0.009
3087,RADIA,200,0.009
3088,SALUD MARIA,200,0.009
3089,SAMPEDRO,200,0.009
3090,VERONICA ELIZABETH,200,0.009
3091,VIOLETA MARIA,200,0.009
3092,WAFAE,200,0.009
3093,AMANE,199,0.009
3094,ANA CARLOTA,199,0.009
3095,CARMEN FATIMA,199,0.009
3096,CLAIRE,199,0.009
3097,CORPUS,199,0.009
3098,FRANCISCA ANGELES,199,0.009
3099,GISELA MARIA,199,0.009
3100,IRENE PILAR,199,0.009
3101,JOSEFA CONCEPCION,199,0.009
3102,LAURA ROSA,199,0.009
3103,MARIA FRANCESCA,199,0.009
3104,MINIA,199,0.009
3105,MIREN ALAZNE,199,0.009
3106,SONIA PATRICIA,199,0.009
3107,VERONICA ISABEL,199,0.009
3108,ANI,198,0.009
3109,ARWEN,198,0.009
3110,EMILIA CARMEN,198,0.009
3111,MARIA YAIZA,198,0.009
3112,MARTA BELEN,198,0.009
3113,SALSABIL,198,0.009
3114,YANA,198,0.009
3115,YUDITH,198,0.009
3116,BAHIJA,197,0.009
3117,BRIANDA,197,0.009
3118,EUTIMIA,197,0.009
3119,ISABEL MARGARITA,197,0.009
3120,MARIA NORMA,197,0.009
3121,MIREN AINTZANE,197,0.009
3122,SONIA BEATRIZ,197,0.009
3123,YANELY,197,0.009
3124,ANDREA CRISTINA,196,0.009
3125,BLANCA CECILIA,196,0.009
3126,GIOVANA,196,0.009
3127,JULIANA MARIA,196,0.009
3128,LAYA,196,0.009
3129,MARIA PENELOPE,196,0.009
3130,MARIA SETEFILLA,196,0.009
3131,NOARA,196,0.009
3132,RANDA,196,0.009
3133,SIRIN,196,0.009
3134,YURENA CARMEN,196,0.009
3135,ANA CONSUELO,195,0.009
3136,GIANNA,195,0.009
3137,JULIA ESTHER,195,0.009
3138,LUZ ANGELICA,195,0.009
3139,MARIA NEREIDA,195,0.009
3140,MAYRA ALEXANDRA,195,0.009
3141,MILAGROS MARIA,195,0.009
3142,SILVIA ESTHER,195,0.009
3143,AGUSTINA MARIA,194,0.009
3144,ANA ADELA,194,0.009
3145,ANA ALEJANDRA,194,0.009
3146,ANA NIEVES,194,0.009
3147,ANDRESA,194,0.009
3148,ANGELA ROSA,194,0.009
3149,CARLA ISABEL,194,0.009
3150,CARMEN INES,194,0.009
3151,IBTISAM,194,0.009
3152,MARCELIANA,194,0.009
3153,MARIA CARMEN PILAR,194,0.009
3154,MARIA YESICA,194,0.009
3155,PIEDAD MARIA,194,0.009
3156,ROSA FRANCISCA,194,0.009
3157,ROSA JULIA,194,0.009
3158,ROSA LAURA,194,0.009
3159,SANTAS,194,0.009
3160,STELA,194,0.009
3161,VAITIARE,194,0.009
3162,AIZPEA,193,0.009
3163,ALBA ISABEL,193,0.009
3164,BLANCA AURORA,193,0.009
3165,CARMEN RITA,193,0.009
3166,EROLA,193,0.009
3167,JESSICA ALEXANDRA,193,0.009
3168,JOAQUINA MARIA,193,0.009
3169,JOSEFA ENCARNACION,193,0.009
3170,JOSEFA MERCEDES,193,0.009
3171,MARIA URSULA,193,0.009
3172,ROCIO ALBA,193,0.009
3173,ROSA CRISTINA,193,0.009
3174,ROSABEL,193,0.009
3175,SABRINE,193,0.009
3176,SUA,193,0.009
3177,ZENEIDA,193,0.009
3178,AIA,192,0.009
3179,INASS,192,0.009
3180,JULIA TERESA,192,0.009
3181,LUZ CARMEN,192,0.009
3182,LYUDMYLA,192,0.009
3183,MAHA,192,0.009
3184,MARIA JUDIT,192,0.009
3185,MARIA REINA,192,0.009
3186,MARTA CECILIA,192,0.009
3187,MARTA ROCIO,192,0.009
3188,MIA VALENTINA,192,0.009
3189.PEÑA,192,0,009
3190,ANGELA ROCIO,191,0.009
3191,AUBA,191,0.009
3192,AYESHA,191,0.009
3193,BRENDA MARIA,191,0.009
3194,CLAUDIA BEATRIZ,191,0.009
3195,MARIA ERUNDINA,191,0.009
3196,MARIA LUCIANA,191,0.009
3197,MARIANNE,191,0.009
3198,NADINA,191,0.009
3199,RHIMOU,191,0.009
3200,TORIBIA,191,0.009
3201,ALBA LUZ,190,0.009
3202,ANGELA PILAR,190,0.009
3203,ATIKA,190,0.009
3204,CARLA PATRICIA,190,0.009
3205.EKHIÑE,190,0,009
3206,ESPERANZA ROCIO,190,0.009
3207,EVA ROSA,190,0.009
3208,JENNY ELIZABETH,190,0.009
3209,MAIRA ALEJANDRA,190,0.009
3210,MAIRENA,190,0.009
3211,MARIA AUGUSTA,190,0.009
3212,PILAR ANGELES,190,0.009
3213,RAWAN,190,0.009
3214,VIDA,190,0.009
3215,YOSELIN,190,0.009
3216,CLARA ROSA,189,0.009
3217,ESCARLATA,189,0.009
3218,IHINTZA,189,0.009
3219,IUNE,189,0.009
3220,MARIA GISELA,189,0.009
3221,MONICA ROCIO,189,0.009
