Nº,Nombre,Total.Por mil ‰
577,VICTORINA,3.111,0.145
578,OLALLA,3.081,0.143
579,JONE,3.077,0.143
580,CYNTHIA,3.075,0.143
581,YURENA,3.058,0.142
582,MARIA LORENA,3.054,0.142
583,SERAFINA,3.048,0.142
584,FAUSTINA,3.020,0.141
585,GRETA,3.005,0.140
586,FERMINA,3.001,0.140
587,BLANCA MARIA,2.990,0.139
588,CELESTINA,2.980,0.139
589,CASILDA,2.976,0.139
590,MENCIA,2.970,0.138
591,ROSA ISABEL,2.951,0.137
592,IRAIA,2.943,0.137
593,AICHA,2.942,0.137
594,MARIA CAMINO,2.929,0.136
595,MARWA,2.923,0.136
596,MARIA VIRGINIA,2.891,0.135
597,MARIA GEMMA,2.889,0.134
598,TERESA MARIA,2.887,0.134
599,CARMELA,2.881,0.134
600,CONCEPCIO,2.881,0.134
601,DINA,2.880,0.134
602,SATURNINA,2.878,0.134
603,MELISA,2.873,0.134
604,SUSANA MARIA,2.869,0.134
605,MALENA,2.860,0.133
606,DULCE MARIA,2.851,0.133
607,MARIA AMOR,2.851,0.133
608,OLAIA,2.850,0.133
609,MARIA CLARA,2.846,0.132
610,ALICIA MARIA,2.838,0.132
611,MARIA CECILIA,2.836,0.132
612,ARANCHA,2.834,0.132
613,MARIA ESTELA,2.830,0.132
614,NAOMI,2.817,0.131
615,BELINDA,2.799,0.130
616,SONSOLES,2.790,0.130
617,MAYA,2.788,0.130
618,QUERALT,2.786,0.130
619,BIANCA,2.764,0.129
620,MIRANDA,2.754,0.128
621,MARIA OLIVA,2.751,0.128
622,ALAZNE,2.748,0.128
623,KAREN,2.747,0.128
624,ANA TERESA,2.741,0.128
625,PASCUALA,2.725,0.127
626,JERONIMA,2.722,0.127
627,ELISA MARIA,2.718,0.127
628,IDAIRA,2.688,0.125
629,ESTHER MARIA,2.673,0.124
630,CARMEN DOLORES,2.661,0.124
631,RAQUEL MARIA,2.651,0.123
632,BASILISA,2.647,0.123
633,MARIA VIRTUDES,2.632,0.123
634,DAFNE,2.630,0.122
635,ARANTZAZU,2.626,0.122
636,BENEDICTA,2.626,0.122
637,CELSA,2.626,0.122
638,ARANTZA,2.623,0.122
639,MARIA LORETO,2.621,0.122
640,MARIA AGUSTINA,2.617,0.122
641,LEILA,2.599,0.121
642,MARIA LLANOS,2.596,0.121
643,MARIA O,2.593,0.121
644,MELANIE,2.583,0.120
645,MARIA CATALINA,2.564,0.119
646,MARIA LEONOR,2.562,0.119
647,BRENDA,2.556,0.119
648,MARIA ADORACION,2.553,0.119
649,NELIDA,2.553,0.119
650,CARMEN DELIA,2.542,0.118
651,ANA PILAR,2.531,0.118
652,CLEMENTINA,2.524,0.118
653,JACQUELINE,2.520,0.117
654,MARIA VISITACION,2.518,0.117
655,OFELIA,2.514,0.117
656,ANNE,2.513,0.117
657,RITA MARIA,2.503,0.117
658,MARIA SALOME,2.497,0.116
659,LUA,2.488,0.116
660,YESSICA,2.478,0.115
661,MELISSA,2.474,0.115
662,ANA VICTORIA,2.471,0.115
663,YLENIA,2.468,0.115
664,MARIA IRENE,2.467,0.115
665,MARIA AMELIA,2.465,0.115
666,MARIA FUENSANTA,2.460,0.115
667,INDIRA,2.458,0.114
668,SELENE,2.450,0.114
669,MARIA COVADONGA,2.448,0.114
670,LUCIANA,2.444,0.114
671,ENCARNACIO,2.423,0.113
672,ADARA,2.421,0.113
673,IMAN,2.421,0.113
674,LOREA,2.412,0.112
675,MARIA SIERRA,2.409,0.112
676,MARIA FLOR,2.408,0.112
677,ALAIA,2.407,0.112
678,MARIA GABRIELA,2.393,0.111
679,PATRICIA MARIA,2.393,0.111
680,ANUNCIACION,2.390,0.111
681,ELOINA,2.386,0.111
682,LUISA FERNANDA,2.376,0.111
683,CATERINA,2.374,0.111
684,MARIA MONSERRAT,2.364,0.110
685,BERNARDA,2.363,0.110
686,MARIA ANGELICA,2.361,0.110
687,DOLORES MARIA,2.353,0.110
688,LIBERTAD,2.349,0.109
689,MARIA ALBA,2.345,0.109
690.ZURIÑE,2.343,0,109
691,ROSARIO MARIA,2.337,0.109
692,ANA LUISA,2.334,0.109
693,LUCRECIA,2.330,0.108
694,MALEN,2.330,0.108
695,FLORINDA,2.329,0.108
696,ANA LUCIA,2.320,0.108
697,MARIA VANESSA,2.317,0.108
698,PAMELA,2.310,0.108
699,VICTORIANA,2.308,0.107
700,SELENA,2.295,0.107
701,CRISTOBALINA,2.272,0.106
702,MICHELLE,2.271,0.106
703,MARIA SANTOS,2.270,0.106
704,MARIELA,2.244,0.104
705,MARIA HENAR,2.230,0.104
706,MILAGROSA,2.217,0.103
707,MALIKA,2.215,0.103
708,ISOLINA,2.214,0.103
709,ITXASO,2.214,0.103
710,MARIA CARIDAD,2.206,0.103
711,THALIA,2.203,0.103
712,MARIAN,2.194,0.102
713,YARA,2.178,0.101
